Data,Cidade, Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
23/03/2025,Abaetetuba - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,32,56,100,NE,Fracos
24/03/2025,Abaetetuba - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde e a noite,Estavel,23,33,57,98,NE,Fracos
25/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,70,100,NE,Fracos
26/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,32,70,100,NE,Fracos
27/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
28/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
29/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
30/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,65,95,NE,Fracos
31/03/2025,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,65,95,NE,Fracos
01/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com chuva a noite,Estavel,23,30,71,98,NE,Fracos
02/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva na madrugada,Estavel,23,30,74,98,NE,Fracos
03/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva em areas isoladas a tarde e a noite,Estavel,23,31,70,98,NE,Fracos
06/03/2025,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,65,100,E - NE,Fracos/Moderados
08/03/2025,Abel Figueiredo - PA,Nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,22,29,75,100,E - NE,Fracos/Moderados
09/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,22,30,70,100,E - NE,Fracos/Moderados
10/03/2025,Abel Figueiredo - PA,Nublado com chuva e trovoadas a tarde e a noite,Estavel,22,30,70,100,E - NE,Fracos/Moderados
11/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
12/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
13/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
14/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
15/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
16/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
17/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
18/03/2025,Abel Figueiredo - PA,Parcialmente nublado com chuva em areas isoladas a tarde,Estavel,23,31,68,98,NE,Fracos
19/03/2025,Abel Figueiredo - PA,Nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,23,30,73,98,NE,Fracos
20/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva pela manha,Estavel,24,30,71,98,NE,Fracos
21/03/2025,Abel Figueiredo - PA,Nublado com chuva a qualquer hora do dia,Estavel,24,30,72,100,NE,Fracos
22/03/2025,Abel Figueiredo - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas pela manha,Estavel,23,31,72,99,NE,Fracos
23/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com chuva em areas isoladas a tarde,Estavel,23,31,71,98,NE,Fracos
24/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva pela manha,Estavel,23,30,70,98,NE,Fracos
25/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com chuva na madrugada,Estavel,23,31,70,100,NE,Fracos
26/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
27/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
28/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
29/03/2025,Abel Figueiredo - PA,Nublado a parcialmente nublado com pancadas de chuva e trovoadas na madrugada,Estavel,23,31,70,100,NE,Fracos
30/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas entre o final da tarde e o inicio da noite,Estavel,23,31,65,95,NE,Fracos
31/03/2025,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde,Estavel,23,32,65,95,NE,Fracos
01/03/2025,Acara - PA,Nublado com chuva a tarde,Estavel,23,30,76,100,NE,Fracos
02/03/2025,Acara - PA,Nublado com chuva a tarde,Estavel,23,30,79,100,NE,Fracos
03/03/2025,Acara - PA,Nublado com chuva entre o final da tarde e o inicio da noite,Estavel,23,30,74,100,NE,Fracos
07/03/2025,Acara - PA,Nublado com chuva e trovoadas a qualquer hora do dia,Declinio,22,28,75,100,E - NE,Fracos/Moderados
08/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a qualquer hora do dia,Elevacao,23,30,60,100,E - NE,Fracos/Moderados
09/03/2025,Acara - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Elevacao,23,31,60,100,E - NE,Fracos/Moderados
10/03/2025,Acara - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Elevacao,23,31,60,100,E - NE,Fracos/Moderados
11/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
12/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
13/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
14/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
15/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
16/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
17/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,30,60,95,N,Fracos
18/03/2025,Acara - PA,Nublado com chuva a tarde,Estavel,23,30,72,100,NE,Fracos
19/03/2025,Acara - PA,Parcialmente nublado a nublado com chuva em areas isoladas a tarde,Estavel,23,31,72,100,NE,Fracos
20/03/2025,Acara - PA,Nublado com chuva a tarde,Estavel,23,30,77,100,NE,Fracos
21/03/2025,Acara - PA,Nublado com chuva a qualquer hora do dia,Estavel,23,30,72,100,NE,Fracos
22/03/2025,Acara - PA,Parcialmente nublado a nublado com chuva a tarde,Estavel,23,31,67,100,NE,Fracos
23/03/2025,Acara - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,32,56,100,NE,Fracos
24/03/2025,Acara - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde e a noite,Estavel,23,33,57,98,NE,Fracos
25/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,70,100,NE,Fracos
26/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,32,70,100,NE,Fracos
27/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
28/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
29/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,70,100,NE,Fracos
30/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,65,95,NE,Fracos
31/03/2025,Acara - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,65,95,NE,Fracos
01/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,23,29,70,100,NW - NE,Fracos
02/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,22,28,70,100,N - NE,Fracos
03/03/2025,Acrelandia - AC,Nublado a encoberto com pancadas de chuva e trovoadas,Estavel,22,30,60,100,N - NE,Fracos
07/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,23,28,70,100,NW - N,Fracos
08/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas,Estavel,23,32,55,100,N - NE,Fracos
09/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,22,29,60,100,NW - NE,Fracos
10/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,22,28,70,100,E - SE,Fracos
11/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,30,65,95,E - NE,Fracos
12/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,29,65,95,E - NE,Fracos
13/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,22,28,55,95,SE,Fracos
14/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,27,65,95,SE - E,Fracos
15/03/2025,Acrelandia - AC,Parcialmente nublado com pancadas de chuva e trovoadas,Estavel,22,29,65,95,SE,Fracos
16/03/2025,Acrelandia - AC,Parcialmente nublado com pancadas de chuva e trovoadas isoladas,Estavel,23,30,60,95,E - SE,Fracos
17/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,28,60,95,S - E,Fracos
18/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas,Estavel,23,31,65,95,SE,Fracos
19/03/2025,Acrelandia - AC,Nublado a encoberto com chuva,Estavel,23,28,60,100,SE - E,Fracos
20/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,29,60,100,SE,Fracos
21/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,24,32,60,95,NW - N,Fracos
22/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,24,32,55,95,NW,Fracos
23/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas,Estavel,23,32,50,100,NW - N,Fracos
24/03/2025,Acrelandia - AC,Parcialmente nublado a nublado com pancadas de chuva e trovoadas,Estavel,23,30,55,100,NW - N,Fracos
25/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,32,55,100,NW - N,Fracos
26/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,31,60,100,NW - N,Fracos
27/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,30,60,100,NW - N,Fracos
28/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,23,30,60,100,NW - N,Fracos
29/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,32,55,100,NW - N,Fracos
30/03/2025,Acrelandia - AC,Nublado com pancadas de chuva e trovoadas,Estavel,22,31,60,100,NW - N,Fracos
01/03/2025,Afua - PA,Nublado com chuva a qualquer hora do dia,Estavel,25,29,83,93,NE,Fracos
02/03/2025,Afua - PA,Nublado com chuva a qualquer hora do dia,Estavel,25,29,82,93,NE,Fracos
03/03/2025,Afua - PA,Nublado com chuva a qualquer hora do dia,Estavel,25,29,80,92,NE,Fracos
07/03/2025,Afua - PA,Nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,28,65,100,E - NE,Fracos/Moderados
08/03/2025,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,65,100,E - NE,Fracos/Moderados
09/03/2025,Afua - PA,Parcialmente nublado a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,29,65,100,E - NE,Fracos/Moderados
10/03/2025,Afua - PA,Parcialmente nublado a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,29,65,100,E - NE,Fracos/Moderados
11/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
12/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
13/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
14/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
15/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
16/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
17/03/2025,Afua - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
18/03/2025,Afua - PA,Parcialmente nublado a nublado com chuva a noite,Estavel,25,29,81,91,NE,Fracos
19/03/2025,Afua - PA,Nublado com chuva a qualquer hora do dia,Estavel,25,29,80,92,NE,Fracos
20/03/2025,Afua - PA,Nublado com chuva a qualquer hora do dia,Estavel,25,29,82,91,NE,Fracos
21/03/2025,Afua - PA,Nublado a parcialmente nublado com chuva a qualquer hora do dia,Estavel,25,29,81,93,NE,Fracos
22/03/2025,Afua - PA,Parcialmente nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,25,29,80,92,NE,Fracos
23/03/2025,Afua - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a qualquer hora do dia,Estavel,25,29,79,91,NE,Fracos
24/03/2025,Afua - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a qualquer hora do dia,Estavel,25,29,76,89,NE,Fracos
25/03/2025,Afua - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a qualquer hora do dia,Estavel,25,29,76,89,NE,Fracos
26/03/2025,Afua - PA,Nublado a parcialmente nublado com pancadas de chuva e trovoadas pela manha e no inicio da tarde,Estavel,25,29,70,100,NE,Fracos
27/03/2025,Afua - PA,Parcialmente nublado a encoberto com chuva e trovoadas a tarde e a noite,Estavel,25,30,70,100,NE,Fracos
28/03/2025,Afua - PA,Encoberto a parciamente nublado com chuva e trovoadas pela manha e a tarde,Estavel,24,28,70,100,NE,Fracos
29/03/2025,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e no inicio da noite,Estavel,24,30,70,100,NE,Fracos
30/03/2025,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e no inicio da noite,Estavel,24,30,70,100,NE,Fracos
31/03/2025,Afua - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e no inicio da noite,Estavel,24,30,70,100,NE,Fracos
01/03/2025,Agua Azul do Norte - PA,Nublado com chuva pela manha e a tarde,Estavel,22,30,72,98,NE,Fracos
02/03/2025,Agua Azul do Norte - PA,Parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,70,99,NE,Fracos
03/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,31,69,99,NE,Fracos
07/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a qualquer hora do dia,Declinio,23,30,70,100,E - NE,Fracos/Moderados
08/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,33,60,95,E - NE,Fracos/Moderados
09/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,32,65,95,E - NE,Fracos/Moderados
10/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,24,32,65,95,E - NE,Fracos/Moderados
11/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
12/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
13/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
14/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
15/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
16/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
17/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,30,60,95,NE,Fracos
18/03/2025,Agua Azul do Norte - PA,Nublado a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,32,66,100,NE,Fracos
19/03/2025,Agua Azul do Norte - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,31,72,99,NE,Fracos
20/03/2025,Agua Azul do Norte - PA,Nublado com chuva a qualquer hora do dia,Estavel,23,31,71,100,NE,Fracos
21/03/2025,Agua Azul do Norte - PA,Nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,23,30,73,100,NE,Fracos
22/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva a noite,Estavel,23,31,73,99,NE,Fracos
23/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a qualquer hora do dia,Estavel,23,30,74,100,NE,Fracos
24/03/2025,Agua Azul do Norte - PA,Nublado com chuva em areas isoladas a qualquer hora do dia,Estavel,23,30,72,100,NE,Fracos
25/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Estavel,23,30,72,100,NE,Fracos
26/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,60,95,NE,Fracos
27/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,33,60,95,NE,Fracos
28/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,31,60,95,NE,Fracos
29/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,31,60,95,NE,Fracos
30/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,55,95,NE,Fracos
31/03/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas entre o final da tarde e o inicio da noite,Estavel,23,32,55,95,NE,Fracos
01/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva pela manha,Estavel,24,30,73,93,NE,Fracos
02/03/2025,Alenquer - PA,Nublado com chuva a qualquer hora do dia,Estavel,24,30,72,94,NE,Fracos
03/03/2025,Alenquer - PA,Nublado com chuva a qualquer hora do dia,Estavel,24,30,74,95,NE,Fracos
07/03/2025,Alenquer - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a qualquer hora do dia,Estavel,24,31,65,95,E - NE,Fracos/Moderados
08/03/2025,Alenquer - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a qualquer hora do dia,Estavel,24,30,65,95,E - NE,Fracos/Moderados
09/03/2025,Alenquer - PA,Nublado a encoberto com chuva e trovoadas a qualquer hora do dia,Estavel,23,29,70,100,E - NE,Fracos/Moderados
10/03/2025,Alenquer - PA,Nublado com chuva e trovoadas a qualquer hora do dia,Estavel,23,29,70,100,E - NE,Fracos/Moderados
11/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
12/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
13/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
14/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
15/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
16/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
17/03/2025,Alenquer - PA,Nublado a encoberto com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,30,65,100,NE,Fracos
18/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva pela manha,Estavel,24,30,74,96,NE,Fracos
19/03/2025,Alenquer - PA,Nublado com chuva a qualquer hora do dia,Estavel,24,29,76,97,NE,Fracos
20/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva a qualquer hora do dia,Estavel,24,30,74,97,NE,Fracos
21/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva pela manha,Estavel,24,30,74,96,NE,Fracos
22/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva a qualquer hora do dia,Estavel,24,30,73,95,NE,Fracos
23/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva a qualquer hora do dia,Estavel,24,30,73,97,NE,Fracos
25/03/2025,Alenquer - PA,Nublado a parcialmente nublado com chuva e trovoadas na madrugada,Estavel,24,31,70,95,NE,Fracos
26/03/2025,Alenquer - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,24,30,70,95,NE,Fracos
27/03/2025,Alenquer - PA,Nublado a parcialmente nublado com pancadas de chuva e trovoadas na madrugada,Estavel,24,30,70,95,NE,Fracos
28/03/2025,Alenquer - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,31,70,95,NE,Fracos
29/03/2025,Alenquer - PA,Encoberto a parciamente nublado com chuva e trovoadas a qualquer hora do dia,Estavel,24,29,70,100,NE,Fracos
30/03/2025,Alenquer - PA,Nublado a parcialmente nublado com pancadas de chuva e trovoadas na madrugada,Estavel,24,30,70,100,NE,Fracos
31/03/2025,Alenquer - PA,Nublado a parcialmente nublado com pancadas de chuva e trovoadas na madrugada,Estavel,24,30,70,100,NE,Fracos
01/03/2025,Almeirim - PA,Parcialmente nublado a nublado com chuva em areas isoladas a tarde,Estavel,24,30,75,98,NE,Fracos
